47689271,725,4095
47693644,406,4095
47697612,714,4095
47701193,341,2572
47705946,700,4095
47710311,418,3524
47714278,720,4095
47717864,354,2621
47722617,714,4095
47726977,405,2746
47730945,738,3939
47734536,341,2618
47739283,675,4095
47743648,406,4095
47747616,739,4095
47751196,367,2570
47755950,713,4095
47760315,405,4095
47764282,726,4095
47767874,342,2632
47772615,695,3947
47776981,411,3278
47780948,732,4095
47784533,361,2568
47789287,733,4095
47793652,413,4095
47797614,707,3324
47801207,360,2640
47805954,719,4095
47810318,399,4095
47814285,726,4095
47817871,361,2569
47822618,713,3803
47826983,406,3476
47830951,713,4095
47834542,341,2627
47839289,694,4095
47843655,399,4095
47847616,746,2940
47851202,354,2594
47855956,719,4095
47860320,393,4095
47864288,714,4095
47867874,354,2658
47872621,720,4095
47876986,412,3835
47880954,719,4095
47884539,354,2577
47889292,688,4095
47893658,393,4095
47897619,726,2577
47901212,354,2650
47905959,674,4095
47910324,399,4095
47914292,700,4095
47917871,355,2574
47922625,688,4095
47926991,412,4095
47930959,732,4095
47934544,342,2626
47939292,720,4095
47943657,399,4095
47947624,707,4095
47951217,354,2680
47955958,706,4007
47960322,392,2716
47964296,707,4095
47967882,342,2626
47972629,720,4095
47976995,405,4095
47980962,725,4095
47984553,342,2636
47989294,720,4095
47993659,406,4069
47997626,746,3399
48001213,354,2672
48005960,719,3250
48010324,412,2571
48014298,713,4095
48017890,342,2597
48022631,687,4095
48026996,393,4095
48030964,738,4095
48034550,348,2641
48039297,707,4095
48043662,406,4055
48047629,707,3694
48051222,335,2631
48055962,713,2786
48060333,412,4095
48064300,720,4095
48067886,354,2644
48072633,720,4095
48076999,393,4095
48080967,713,4095
48084559,361,2590
48089300,707,4095
48093665,393,4095
48097632,752,3673
48101225,354,2594
48105971,700,4095
48110336,393,4095
48114304,700,4095
48117896,342,2637
48122637,700,4095
48127002,406,4095
48130970,745,4095
48134562,348,2651
48139303,713,4095
48143669,405,4095
48147636,720,4095
48151222,354,2667
48155969,687,3540
48160340,392,4095
48164308,732,4095
48167900,341,2658
48172640,701,4095
48177006,393,4095
48180974,700,4095
48184559,341,2572
48189306,688,4095
48193671,406,4095
48197638,727,4095
48201226,334,2583
48205972,694,3750
48210337,399,2907
48214311,732,4095
48217897,341,2606
48222643,714,4095
48227009,399,4095
48230977,693,4095
48234568,335,2675
48239309,713,4095
48243674,419,4095
48247641,714,3882
48251234,341,2602
48255975,713,4095
48260340,405,2825
48264314,726,4095
48267900,348,2572
48272647,714,4095
48277013,405,4095
48280980,713,4095
48284572,328,2589
48289313,681,4095
48293678,393,4095
48297646,701,4095
48301232,354,2588
48305979,687,4095
48310343,405,3357
48314318,719,4095
48317903,335,2634
48322644,714,2968
48327010,393,2973
48330985,706,4095
48334570,348,2612
48339317,681,4095
48343682,406,4095
48347649,714,4095
48351235,354,2653
48355983,699,4095
48360347,399,3835
48364315,720,3708
48367908,335,2654
48372648,727,3516
48377014,418,3291
48380988,719,4095
48384573,341,2618
48389320,707,4095
48393685,400,4095
48397652,708,4095
48401233,334,2582
48405986,687,4095
48410350,405,4025
48414318,726,3881
48417912,347,2624
48422652,720,4095
48427018,399,4095
48430986,706,3610
48434577,342,2589
48439318,688,3239
48443684,405,2965
48447658,726,4095
48451237,354,2590
48455990,707,4095
48460356,398,4095
48464323,733,4095
48467916,341,2611
48472656,668,4095
48477022,399,4095
48480989,745,4095
48484574,342,2597
48489322,688,4095
48493687,406,3717
48497661,733,4095
48501248,354,2603
48505988,726,3527
48510353,406,2874
48514327,726,4095
48517914,334,2597
48522660,682,4095
48527026,399,4095
48530993,752,4095
48534585,349,2571
48539327,719,4095
48543691,400,4095
48547659,726,4095
48551251,354,2645
48555991,726,3406
48560356,405,2733
48564330,694,4095
48567916,335,2572
48572663,694,4095
48577029,393,4095
48580997,700,4095
48584582,342,2621
48589329,675,4095
48593695,399,4095
48597663,707,4095
48601256,328,2638
48605996,719,4095
48610361,392,3550
48614329,700,4019
48617914,355,2581
48622661,688,2892
48627027,399,2979
48630995,738,2845
48634587,355,2629
48639335,720,4095
48643700,387,4095
48647668,726,4095
48651260,341,2661
48656001,713,4095
48660366,406,4095
48664334,714,4095
48667920,335,2577
48672667,707,4095
48677033,412,4095
48681001,738,4095
48684586,361,2581
48689333,694,3991
48693698,406,2982
48697665,713,3006
48701258,354,2617
48706004,707,4095
48710370,398,4095
48714337,726,4095
48717917,341,2607
48722671,700,4095
48727036,399,4095
48731004,706,4095
48734590,354,2584
48739337,707,4095
48743703,405,4095
48747670,694,4095
48751263,360,2630
48756003,719,4095
48760368,399,3187
48764336,720,3844
48767928,342,2590
48772675,701,4095
48777041,392,4095
48781002,745,2799
48784600,335,2665
48789341,675,4095
48793707,405,4095
48797674,726,4095
48801266,342,2595
48806007,681,4095
48810371,393,3627
48814338,720,3924
48817937,329,2683
48822678,688,4095
48827037,412,2675
48831005,725,2620
48834596,355,2628
48839344,687,4095
48843709,399,4095
48847677,726,4095
48851269,354,2687
48856010,693,4095
48860375,405,4095
48864342,701,4095
48867929,354,2615
48872676,688,3759
48877042,398,3517
48881009,706,3967
48884600,336,2637
48889348,726,4095
48893713,399,4095
48897680,707,4095
48901272,342,2638
48906013,719,4095
48910378,399,4095
48914346,714,4095
48917945,354,2747
48922679,720,4095
48927045,399,3881
48931012,732,4046
48934597,342,2571
48939345,707,2707
48943710,394,2638
48947684,739,4095
48951270,342,2603
48956017,719,4095
48960382,399,4095
48964349,739,4095
48967942,341,2666
48972682,714,4095
48977048,406,4095
48981016,713,4095
48984601,336,2612
48989349,719,3941
48993714,412,3054
48997681,707,2821
49001274,354,2667
49006021,719,4095
49010387,398,4095
49014354,726,4095
49017934,347,2570
49022687,713,4095
49027053,392,4095
49031020,745,4095
49034612,341,2589
49039353,719,4095
49043718,393,3397
49047685,733,3427
49051271,354,2582
49056024,713,4095
49060389,405,4095
49064356,746,4095
49067949,328,2606
49072689,688,4095
49077055,393,4095
49081023,706,4095
49084608,355,2603
49089356,700,4095
49093721,413,3914
49097689,713,4095
49101282,341,2598
49106022,700,2718
49110387,406,2696
49114355,707,2704
49117941,341,2579
49122693,688,4095
49127059,393,4095
49131027,700,4095
49134612,368,2622
49139360,681,4095
49143725,406,4095
49147693,707,4095
49151286,341,2664
49156026,675,4095
49160392,392,3617
49164359,739,3664
49167947,347,2572
49172693,688,2746
49177059,412,3101
49181026,726,2906
49184611,355,2579
49189365,669,4095
49193730,406,4095
49197698,713,4095
49201284,354,2597
49206031,712,4095
49210396,398,3823
49214363,707,3834
49217944,360,2572
49222696,694,2626
49227062,399,2956
49231030,738,3261
49234621,355,2610
49239368,707,4095
49243734,399,4095
49247701,739,4095
49251288,354,2614
49256035,687,4095
49260400,399,4095
49264368,713,4095
49267955,347,2597
49272701,687,4095
49277067,405,4095
49281034,700,4095
49284620,354,2611
49289367,720,3164
49293732,412,2680
49297706,726,4095
49301298,341,2621
49306039,699,4095
49310404,392,4095
49314371,720,4095
49317957,341,2580
49322704,687,4095
49327070,398,4095
49331037,719,4095
49334629,355,2598
49339370,714,3377
49343735,407,2992
49347703,746,2600
49351296,348,2601
49356043,694,4095
49360408,393,4095
49364376,700,4095
49367969,328,2627
49372709,714,4095
49377075,412,4095
49381043,738,4095
49384627,342,2593
49389375,719,4095
49393740,406,4095
49397708,694,4060
49401296,360,2572
49406042,693,4095
49410407,392,3652
49414374,733,2905
49417960,361,2576
49422713,714,4095
49427073,399,2702
49431047,726,4095
49434639,329,2633
49439380,694,4095
49443745,393,4095
49447712,727,4095
49451298,348,2577
49456045,713,4095
49460409,406,3415
49464383,732,4095
49467969,341,2619
49472716,674,4095
49477082,398,4095
49481049,694,4095
49484641,349,2679
49489382,713,4095
49493748,393,4095
49497715,733,4095
49501307,329,2633
49506047,700,4095
49510413,393,4095
